target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2216.51	0	0
AT1G18320.1	699	406.632	0	0
AT5G11100.1	1709	1416.51	61	7.62745
AT4G35335.1	1280	987.506	81	14.5282
AT1G60930.1	3876	3583.51	14	0.69197
AT1G17000.1	2351	2058.51	0	0
AT3G55270.1	3130	2837.51	930	58.0515
AT4G16150.1	3181	2888.51	1002	61.4415
AT3G18150.1	1370	1077.51	0	0
AT3G52310.1	2443	2150.51	1	0.082362
AT3G08943.1	3165	2872.51	214.033	13.1974
AT4G15950.1	814	521.506	35	11.8871
AT5G60900.1	2873	2580.51	1	0.0686377
AT5G18710.1	1919	1626.51	2	0.217792
AT1G64460.1	2240	1947.51	280	25.4652
AT2G31100.1	1247	954.506	0	0
AT1G60260.1	1634	1341.51	4	0.528123
AT2G06210.1	3579	3286.51	268	14.4434
AT3G57180.1	2232	1939.51	3	0.273967
ATMG01320.1	922	629.506	6.97778	1.96329
AT4G15130.1	1234	941.506	88	16.5549
AT5G39100.1	808	515.506	7	2.4051
AT4G16110.1	2666	2373.51	329	24.5512
AT5G26800.1	637	345.067	88	45.1697
AT4G16360.1	1685	1392.51	189	24.0399
ATMG00060.1	542	252.259	14	9.82989
AT1G76820.1	3857	3564.51	44.5894	2.21564
AT3G05780.1	2775	2482.51	1	0.0713473
AT1G24405.1	718	425.592	17	7.07494
AT2G27490.4	843	550.506	61.0175	19.6318
AT2G27490.1	1367	1074.51	9.23868	1.52289
AT2G27490.3	1201	908.506	3.69998	0.721339
AT2G27490.2	1381	1088.51	87.0439	14.1637
AT3G13276.1	269	50.4714	15	52.6397
AT1G71740.1	393	120.726	274	401.993
AT1G52920.1	1351	1058.51	1	0.16733
AT2G17370.1	2273	1980.51	230	20.5693
AT4G13615.1	813	520.506	581	197.705
AT3G46680.1	1350	1057.51	5	0.837442
AT1G70830.3	996	703.506	0	0
AT1G70830.2	1329	1036.51	0	0
AT1G70830.5	787	494.518	0.0910007	0.0325935
AT1G70830.4	1393	1100.51	0	0
AT1G70830.1	1331	1038.51	1.90966	0.325698
AT2G34090.3	1458	1165.51	0	0
AT2G34090.2	1616	1323.51	0	0
AT2G34090.1	1700	1407.51	19.0245	2.39403
AT2G34090.4	1521	1228.51	2.97552	0.428996
AT2G34090.5	1425	1132.51	0	0
AT1G65541.1	340	84.1419	0	0
AT2G01050.1	1548	1255.51	0	0
AT2G07751.1	357	95.088	15	27.9404
AT4G20565.1	789	496.518	0	0
AT1G61566.1	551	260.869	0	0
AT4G29530.2	1148	855.506	6.34994	1.31466
AT4G29530.1	1144	851.506	71.6501	14.9038
AT5G09225.1	780	487.518	201	73.0253
AT1G21100.1	1545	1252.51	2568.24	363.181
AT1G73150.1	2150	1857.51	61	5.81657
AT1G73150.2	1956	1663.51	0	0
AT3G51750.3	654	361.907	0	0
AT3G51750.1	563	272.433	12.7239	8.27232
AT3G51750.2	560	269.524	1.27614	0.838625
AT1G07010.1	1622	1329.51	0	0
AT1G07010.2	1556	1263.51	3	0.420544
AT1G07010.3	1542	1249.51	0	0
AT1G32080.1	2009	1716.51	1	0.103186
AT1G16710.5	6346	6053.51	0.00718931	0.000210353
AT1G16710.7	5822	5529.51	162.85	5.21637
AT1G16710.1	6018	5725.51	60.8851	1.8835
AT1G16710.4	6502	6209.51	4.08281	0.116458
AT1G16710.8	6455	6162.51	1.0153e-08	2.91814e-10
AT1G16710.10	6023	5730.51	0	0
AT1G16710.6	6107	5814.51	72.8823	2.22012
AT1G16710.3	6619	6326.51	1.80917e-05	5.06504e-07
AT1G16710.9	6549	6256.51	59.2928	1.67856
AT1G16710.2	5783	5490.51	0	0
AT1G07590.1	2407	2114.51	44831	3755.23
AT5G49170.1	1172	879.506	0	0
AT2G40240.1	1614	1321.51	1	0.134029
AT4G30380.2	537	247.47	0	0
AT4G30380.1	486	199.828	0	0
AT2G20619.1	201	33.6943	0	0
AT3G05830.2	1420	1127.51	1.92935	0.303082
AT3G05830.1	1358	1065.51	55.0706	9.15445
AT3G05830.3	1524	1231.51	0	0
AT5G11430.6	3634	3341.51	0	0
AT5G11430.2	2601	2308.51	7.21999	0.553953
AT5G11430.4	2791	2498.51	0	0
AT5G11430.3	3322	3029.51	0	0
AT5G11430.5	2373	2080.51	5.0562	0.43045
AT5G11430.1	3147	2854.51	98.7238	6.12574
AT1G20530.1	2269	1976.51	1	0.0896127
AT4G23170.1	1824	1531.51	12	1.38781
AT1G44780.2	1644	1351.51	13.3563	1.75039
AT1G44780.1	1647	1354.51	6.64372	0.868757
AT1G60880.1	606	314.53	0	0
AT1G06160.1	1086	793.506	60	13.3927
AT3G07260.1	1204	911.506	2.0051	0.389622
AT1G21090.1	1404	1111.51	133	21.1937
AT1G21090.2	1416	1123.51	0	0
AT1G76730.1	1500	1207.51	10	1.46683
AT1G03970.1	1190	897.506	222	43.811
AT5G19160.1	2182	1889.51	13	1.2186
AT5G19160.2	2242	1949.51	0	0
AT3G49744.1	174	30.1697	0	0
AT5G28820.1	519	230.483	0	0
AT4G12530.1	730	437.561	0	0
AT4G20050.1	1924	1631.51	0	0
AT4G20050.5	1742	1449.51	0	0
AT4G20050.3	1800	1507.51	0	0
AT4G20050.2	1873	1580.51	0	0
AT4G20050.6	1732	1439.51	4.0973e-08	5.04141e-09
AT4G20050.7	1707	1414.51	7	0.876518
AT4G20050.4	1981	1688.51	0	0
AT5G53810.1	1574	1281.51	3	0.414637
AT2G28690.1	1117	824.506	6	1.28892
AT5G01530.1	1396	1103.51	580	93.0939
AT3G62800.3	1283	990.506	0	0
AT3G62800.1	1368	1075.51	72.2068	11.8914
AT3G62800.2	1297	1004.51	47.7932	8.42717
ATCG00900.1	468	183.566	92	88.7693
AT3G11385.1	2459	2166.51	11	0.899291
AT5G07010.1	1779	1486.51	298	35.5073
AT3G63040.1	654	361.907	0	0
AT2G26570.2	2921	2628.51	20.0258	1.34942
AT2G26570.1	2941	2648.51	822.974	55.0368
AT3G05560.2	756	463.529	0	0
AT3G05560.3	841	548.506	0	0
AT3G05560.1	840	547.506	304	98.3451
AT5G12080.3	2694	2401.51	86.3648	6.36973
AT5G12080.2	2805	2512.51	22.6352	1.59568
AT5G12080.1	2754	2461.51	0	0
AT1G50870.1	1191	898.506	0	0
AT2G20610.2	1748	1455.51	29.2104	3.5546
AT2G20610.1	1794	1501.51	245.79	28.9937
AT5G02940.2	2792	2499.51	0.148872	0.0105493
AT5G02940.1	2920	2627.51	19.8511	1.33816
AT1G68430.1	945	652.506	5	1.35723
AT1G66550.2	856	563.506	0	0
AT1G66550.1	765	472.518	0	0
AT1G09380.1	1641	1348.51	9	1.18211
AT3G48840.1	757	464.529	0	0
AT3G48840.2	667	374.801	0	0
AT5G61800.1	1629	1336.51	7	0.927673
AT5G01445.1	589	297.844	1	0.594673
AT4G35500.1	1975	1682.51	59.9112	6.30694
AT4G35500.2	1638	1345.51	44.0888	5.80377
AT1G80310.1	1937	1644.51	550	59.2373
AT2G39400.2	1307	1014.51	21.1816	3.69804
AT2G39400.1	1394	1101.51	127.818	20.553
AT4G04990.1	1217	924.506	802	153.65
AT3G60530.1	1465	1172.51	313	47.2821
AT2G46180.1	2540	2247.51	157	12.3728
AT2G22270.1	1398	1105.51	128.318	20.5586
AT2G22270.2	1174	881.506	12.6824	2.54826
AT2G43660.1	471	186.237	0	0
AT2G43660.2	597	305.635	4	2.31806
AT1G03910.2	2466	2173.51	0	0
AT1G03910.1	2565	2272.51	555	43.2569
AT1G77590.1	2692	2399.51	268.697	19.8339
AT1G77590.2	2669	2376.51	123.303	9.18972
AT1G79020.1	2134	1841.51	217	20.8715
AT5G24420.1	1321	1028.51	0	0
AT5G39490.1	1701	1408.51	0	0
AT3G26922.2	1894	1601.51	5.71942	0.632545
AT3G26922.1	1793	1500.51	4.5784	0.540436
AT3G26922.4	1661	1368.51	1.26624e-06	1.63884e-07
AT3G26922.5	1642	1349.51	4.70218	0.617151
AT3G26922.3	1711	1418.51	0	0
AT3G50450.1	926	633.506	3	0.838761
AT3G17160.1	882	589.506	117	35.1533
AT1G34315.1	819	526.506	280	94.1939
AT5G08580.2	1818	1525.51	5.89145	0.684031
AT5G08580.1	1736	1443.51	57.1086	7.00729
AT2G28360.1	3032	2739.51	307	19.8488
AT4G25000.1	1606	1313.51	1	0.134845
AT5G27410.4	1734	1441.51	190.239	23.3749
AT5G27410.1	2156	1863.51	245.186	23.3041
AT5G27410.3	2229	1936.51	70.5755	6.4551
AT5G27410.2	3153	2860.51	0	0
AT5G65200.1	1982	1689.51	179	18.7655
AT5G23535.1	1015	722.506	43.3722	10.6326
AT5G23535.2	830	537.506	3.62775	1.19542
AT1G05230.1	3520	3227.51	0	0
AT1G05230.5	3644	3351.51	0	0
AT1G05230.12	2134	1841.51	2.55795	0.246029
AT1G05230.6	3553	3260.51	0	0
AT1G05230.2	2983	2690.51	0	0
AT1G05230.11	2424	2131.51	0	0
AT1G05230.3	2678	2385.51	20.4421	1.51779
AT1G05230.7	3526	3233.51	0	0
AT1G05230.10	2557	2264.51	0	0
AT1G05230.9	3140	2847.51	0	0
AT1G05230.4	2974	2681.51	0	0
AT1G05230.8	3231	2938.51	0	0
AT1G79830.1	3669	3376.51	15.1551	0.794987
AT1G79830.3	3588	3295.51	328.848	17.6742
AT1G79830.2	3278	2985.51	770.997	45.7406
AT1G79830.4	3547	3254.51	0	0
AT1G79830.5	3718	3425.51	0	0
AT5G09480.1	840	547.506	1002	324.151
AT5G56480.1	409	133.25	0	0
AT5G60820.1	1648	1355.51	51	6.66402
AT5G55820.7	5630	5337.51	0.990695	0.0328753
AT5G55820.5	5831	5538.51	15.3361	0.490446
AT5G55820.8	5630	5337.51	0	0
AT5G55820.10	5271	4978.51	0	0
AT5G55820.4	5292	4999.51	0	0
AT5G55820.9	5896	5603.51	4.12657	0.130436
AT5G55820.2	5622	5329.51	3.45417e-05	1.14796e-06
AT5G55820.11	5449	5156.51	0	0
AT5G55820.3	5610	5317.51	57.5466	1.91681
AT5G55820.6	5642	5349.51	6.00108e-07	1.98693e-08
AT5G55820.1	5481	5188.51	0	0
AT5G44950.1	1317	1024.51	0	0
AT4G31140.1	2171	1878.51	157	14.8032
AT4G35910.1	2164	1871.51	95	8.99084
AT3G56220.2	541	251.296	0	0
AT3G56220.1	905	612.506	25	7.22932
AT2G19970.1	926	633.506	186	52.0032
AT5G54520.1	1864	1571.51	88	9.91823
AT2G04032.1	1403	1110.51	0	0
AT5G03455.1	704	411.622	389.812	167.735
AT5G03455.2	1006	713.506	1.18776	0.294848
AT1G48140.2	563	272.433	0	0
AT1G48140.1	743	450.551	101	39.705
AT4G15050.1	1191	898.506	0	0
ATCG00420.1	477	191.553	2	1.84931
AT5G30360.1	420	142.313	0	0
AT2G32600.1	1301	1008.51	245	43.0284
AT2G41010.1	1250	957.506	76	14.0585
AT5G07170.2	1274	981.506	0	0
AT5G07170.1	1612	1319.51	0	0
AT5G32670.1	700	407.632	0	0
AT1G60250.1	756	463.529	0	0
AT4G09012.1	1175	882.506	5	1.00351
AT3G26355.1	64	20.8947	0	0
AT5G02710.1	1195	902.506	19.1882	3.76576
AT5G02710.2	1778	1485.51	0	0
AT5G02710.3	1348	1055.51	4.72348	0.792627
AT4G10110.1	836	543.506	153	49.8603
AT5G13900.1	754	461.54	89	34.1545
AT5G16380.1	1108	815.506	182	39.5287
AT5G40630.1	937	644.506	12	3.29778
AT1G55670.1	780	487.518	33	11.9892
