target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2219.96	0	0
AT1G18320.1	699	410.102	5	2.21879
AT5G11100.1	1709	1419.96	47	6.02364
AT4G35335.1	1280	990.964	76	13.9571
AT1G60930.1	3876	3586.96	21	1.06544
AT1G17000.1	2351	2061.96	0	0
AT3G55270.1	3130	2840.96	708	45.353
AT4G16150.1	3181	2891.96	966	60.7887
AT3G18150.1	1370	1080.96	0	0
AT3G52310.1	2443	2153.96	2	0.168978
AT3G08943.1	3165	2875.96	312.753	19.7905
AT4G15950.1	814	524.964	52	18.0265
AT5G60900.1	2873	2583.96	25	1.76073
AT5G18710.1	1919	1629.96	4	0.446602
AT1G64460.1	2240	1950.96	295	27.5176
AT2G31100.1	1247	957.964	1	0.189972
AT1G60260.1	1634	1344.96	8	1.08247
AT2G06210.1	3579	3289.96	253	13.9948
AT3G57180.1	2232	1942.96	6	0.561985
ATMG01320.1	922	632.964	4.95678	1.42514
AT4G15130.1	1234	944.964	81	15.5994
AT5G39100.1	808	518.964	2	0.701344
AT4G16110.1	2666	2376.96	309	23.6578
AT5G26800.1	637	348.445	109	56.9287
AT4G16360.1	1685	1395.96	247	32.2004
ATMG00060.1	542	255.36	10	7.12666
AT1G76820.1	3857	3567.96	43.9602	2.24222
AT3G05780.1	2775	2485.96	1	0.0732055
AT1G24405.1	718	429.049	12	5.08994
AT2G27490.4	843	553.964	60.8401	19.987
AT2G27490.1	1367	1077.96	20.2994	3.42703
AT2G27490.3	1201	911.964	0	0
AT2G27490.2	1381	1091.96	29.8605	4.97654
AT3G13276.1	269	53.5926	7	23.7701
AT1G71740.1	393	124.3	130	190.331
AT1G52920.1	1351	1061.96	5	0.856838
AT2G17370.1	2273	1983.96	241	22.1066
AT4G13615.1	813	523.964	668	232.014
AT3G46680.1	1350	1060.96	3	0.514587
AT1G70830.3	996	706.964	0	0
AT1G70830.2	1329	1039.96	0	0
AT1G70830.5	787	498.002	0	0
AT1G70830.4	1393	1103.96	0	0
AT1G70830.1	1331	1041.96	13.0044	2.27131
AT2G34090.3	1458	1168.96	0	0
AT2G34090.2	1616	1326.96	0	0
AT2G34090.1	1700	1410.96	14	1.80572
AT2G34090.4	1521	1231.96	0	0
AT2G34090.5	1425	1135.96	0	0
AT1G65541.1	340	87.8643	0	0
AT2G01050.1	1548	1258.96	0	0
AT2G07751.1	357	98.7617	6	11.0561
AT4G20565.1	789	500.002	0	0
AT1G61566.1	551	264.014	0	0
AT4G29530.2	1148	858.964	6.93256	1.46878
AT4G29530.1	1144	854.964	35.0674	7.4644
AT5G09225.1	780	491.002	174	64.4917
AT1G21100.1	1545	1255.96	2201.85	319.043
AT1G73150.1	2150	1860.96	46.1373	4.51183
AT1G73150.2	1956	1666.96	9.86266	1.07673
AT3G51750.3	654	365.308	0	0
AT3G51750.1	563	275.622	7	4.62193
AT3G51750.2	560	272.692	0	0
AT1G07010.1	1622	1332.96	0	0
AT1G07010.2	1556	1266.96	6	0.861838
AT1G07010.3	1542	1252.96	0	0
AT1G32080.1	2009	1719.96	1	0.105808
AT1G16710.5	6346	6056.96	0	0
AT1G16710.7	5822	5532.96	170.608	5.6115
AT1G16710.1	6018	5728.96	45.0635	1.43149
AT1G16710.4	6502	6212.96	80.8589	2.36847
AT1G16710.8	6455	6165.96	0	0
AT1G16710.10	6023	5733.96	0	0
AT1G16710.6	6107	5817.96	1.50398e-05	4.70447e-07
AT1G16710.3	6619	6329.96	1.00991	0.0290349
AT1G16710.9	6549	6259.96	26.4599	0.769228
AT1G16710.2	5783	5493.96	0	0
AT1G07590.1	2407	2117.96	29156.9	2505.31
AT5G49170.1	1172	882.964	4	0.824433
AT2G40240.1	1614	1324.96	5	0.686759
AT4G30380.2	537	250.606	0	0
AT4G30380.1	486	203.032	0	0
AT2G20619.1	201	36.5364	0	0
AT3G05830.2	1420	1130.96	0	0
AT3G05830.1	1358	1068.96	59	10.0445
AT3G05830.3	1524	1234.96	0	0
AT5G11430.6	3634	3344.96	0	0
AT5G11430.2	2601	2311.96	5.79376	0.456055
AT5G11430.4	2791	2501.96	0.00130121	9.46467e-05
AT5G11430.3	3322	3032.96	14.7632	0.885833
AT5G11430.5	2373	2083.96	3.65659	0.319319
AT5G11430.1	3147	2857.96	81.7851	5.20782
AT1G20530.1	2269	1979.96	5	0.459569
AT4G23170.1	1824	1534.96	6	0.711363
AT1G44780.2	1644	1354.96	9.79102	1.31504
AT1G44780.1	1647	1357.96	19.209	2.57427
AT1G60880.1	606	317.833	0	0
AT1G06160.1	1086	796.964	111	25.3468
AT3G07260.1	1204	914.964	4	0.795599
AT1G21090.1	1404	1114.96	158.604	25.8875
AT1G21090.2	1416	1126.96	5.39639	0.871429
AT1G76730.1	1500	1210.96	20	3.00564
AT1G03970.1	1190	900.964	198	39.9941
AT5G19160.1	2182	1892.96	28.9524	2.78343
AT5G19160.2	2242	1952.96	5.0476	0.470358
AT3G49744.1	174	30.5459	0	0
AT5G28820.1	519	233.51	0	0
AT4G12530.1	730	441.038	6	2.47579
AT4G20050.1	1924	1634.96	0	0
AT4G20050.5	1742	1452.96	0	0
AT4G20050.3	1800	1510.96	0	0
AT4G20050.2	1873	1583.96	3.19653	0.367259
AT4G20050.6	1732	1442.96	0	0
AT4G20050.7	1707	1417.96	0	0
AT4G20050.4	1981	1691.96	2.80347	0.301538
AT5G53810.1	1574	1284.96	6	0.849765
AT2G28690.1	1117	827.964	40	8.79199
AT5G01530.1	1396	1106.96	405	66.5825
AT3G62800.3	1283	993.964	5.76678	1.05585
AT3G62800.1	1368	1078.96	66.9441	11.2913
AT3G62800.2	1297	1007.96	31.2891	5.6492
ATCG00900.1	468	186.884	81	78.877
AT3G11385.1	2459	2169.96	25	2.09665
AT5G07010.1	1779	1489.96	243	29.6803
AT3G63040.1	654	365.308	0	0
AT2G26570.2	2921	2631.96	0	0
AT2G26570.1	2941	2651.96	615	42.2033
AT3G05560.2	756	467.027	0	0
AT3G05560.3	841	551.964	4.43919	1.46363
AT3G05560.1	840	550.964	758.561	250.556
AT5G12080.3	2694	2404.96	114	8.6265
AT5G12080.2	2805	2515.96	0	0
AT5G12080.1	2754	2464.96	0	0
AT1G50870.1	1191	901.964	0	0
AT2G20610.2	1748	1458.96	23.8513	2.97513
AT2G20610.1	1794	1504.96	471.149	56.9732
AT5G02940.2	2792	2502.96	19	1.38146
AT5G02940.1	2920	2630.96	0	0
AT1G68430.1	945	655.964	7	1.94203
AT1G66550.2	856	566.964	0	0
AT1G66550.1	765	476.027	0	0
AT1G09380.1	1641	1351.96	2	0.269218
AT3G48840.1	757	468.027	3	1.16651
AT3G48840.2	667	378.242	0	0
AT5G61800.1	1629	1339.96	7	0.9507
AT5G01445.1	589	301.102	3	1.8132
AT4G35500.1	1975	1685.96	80.0458	8.64029
AT4G35500.2	1638	1348.96	39.9542	5.39015
AT1G80310.1	1937	1647.96	360	39.7551
AT2G39400.2	1307	1017.96	25.8897	4.62843
AT2G39400.1	1394	1104.96	176.11	29.0051
AT4G04990.1	1217	927.964	723	141.79
AT3G60530.1	1465	1175.96	468	72.4253
AT2G46180.1	2540	2250.96	180	14.5527
AT2G22270.1	1398	1108.96	111	18.2156
AT2G22270.2	1174	884.964	0	0
AT2G43660.1	471	189.5	1	0.96035
AT2G43660.2	597	308.985	0	0
AT1G03910.2	2466	2176.96	0	0
AT1G03910.1	2565	2275.96	537	42.9385
AT1G77590.1	2692	2402.96	357.961	27.1098
AT1G77590.2	2669	2379.96	15.0394	1.15
AT1G79020.1	2134	1844.96	170	16.7687
AT5G24420.1	1321	1031.96	0	0
AT5G39490.1	1701	1411.96	3	0.386666
AT3G26922.2	1894	1604.96	0	0
AT3G26922.1	1793	1503.96	17	2.05707
AT3G26922.4	1661	1371.96	0	0
AT3G26922.5	1642	1352.96	0	0
AT3G26922.3	1711	1421.96	0	0
AT3G50450.1	926	636.964	3	0.857126
AT3G17160.1	882	592.964	185	56.7782
AT1G34315.1	819	529.964	155	53.226
AT5G08580.2	1818	1528.96	0	0
AT5G08580.1	1736	1446.96	139	17.4822
AT2G28360.1	3032	2742.96	303	20.103
AT4G25000.1	1606	1316.96	1	0.138186
AT5G27410.4	1734	1444.96	84.672	10.664
AT5G27410.1	2156	1866.96	218.124	21.2621
AT5G27410.3	2229	1939.96	47.2038	4.42814
AT5G27410.2	3153	2863.96	0	0
AT5G65200.1	1982	1692.96	104	11.1795
AT5G23535.1	1015	725.964	126	31.5859
AT5G23535.2	830	540.964	0	0
AT1G05230.1	3520	3230.96	0	0
AT1G05230.5	3644	3354.96	0	0
AT1G05230.12	2134	1844.96	2.8209	0.278252
AT1G05230.6	3553	3263.96	0	0
AT1G05230.2	2983	2693.96	7.07585	0.477997
AT1G05230.11	2424	2134.96	0	0
AT1G05230.3	2678	2388.96	27.1032	2.06467
AT1G05230.7	3526	3236.96	0	0
AT1G05230.10	2557	2267.96	0	0
AT1G05230.9	3140	2850.96	0	0
AT1G05230.4	2974	2684.96	0	0
AT1G05230.8	3231	2941.96	0	0
AT1G79830.1	3669	3379.96	0	0
AT1G79830.3	3588	3298.96	205.435	11.3328
AT1G79830.2	3278	2988.96	913.539	55.6217
AT1G79830.4	3547	3257.96	0	0
AT1G79830.5	3718	3428.96	18.0261	0.956703
AT5G09480.1	840	550.964	991	327.332
AT5G56480.1	409	136.816	0	0
AT5G60820.1	1648	1358.96	78	10.4454
AT5G55820.7	5630	5340.96	0.0117622	0.000400782
AT5G55820.5	5831	5541.96	18.3533	0.602683
AT5G55820.8	5630	5340.96	72.3112	2.46391
AT5G55820.10	5271	4981.96	0	0
AT5G55820.4	5292	5002.96	0	0
AT5G55820.9	5896	5606.96	44.7194	1.45146
AT5G55820.2	5622	5332.96	5.11741e-08	1.74631e-09
AT5G55820.11	5449	5159.96	0	0
AT5G55820.3	5610	5320.96	0.604346	0.0206697
AT5G55820.6	5642	5352.96	0	0
AT5G55820.1	5481	5191.96	0	0
AT5G44950.1	1317	1027.96	0	0
AT4G31140.1	2171	1881.96	156	15.0852
